Pluripotent,hNRSC Liu,RPESC Liu,RPC Liu,RPE Liu,Mueller Liu,PC precursor Liu
NANOG,MECOM,TFPI2,CCND1,MYRIP,MIR9-1HG,ATOH7
POU5F1,COL9A1,SLC6A15,HES4,BEST1,CLU,PIK3R1
SOX2,RELN,RAB38,SOX2,CD96,GPX3,NFIB
,PCDH7,GJA1,HES5,ADAM9,FRZB,SOX2
,ZIC1,PMEL,SPP1,MITF,CA2,SPP1
,CPAMD8,MITF,ZFP36L2,PMEL,DBI,CRX
,MEIS1,TYRP1,DCLK1,TYRP1,LGI4,OTX22
,TGFB2,,DKK3,,PLP1,
,GJA1,,RAX,,PMEPA1,
,MSX1,,DCLK1,,WIF1,
,BMP7,,NR2E1,,SPON1,
,HMGA2,,SEMA5A,,NFIX,
,,,PAX2,,SLC1A3,
,,,SIX6,,RLBP1,
,,,COL2A1,,GPX3,
,,,MIS18BP1,,MT3,
,,,MKI67,,TF,
,,,CENPF,,CA2,
,,,VSX2,,,
,,,FZD5,,,
,,,PRTG,,,
,,,PAX6,,,
,,,HES1,,,
,,,SIX3,,,
,,,HES5,,,
,,,ASCL1,,,
,,,DCX,,,
,,,DLL3,,,
,,,CRYM,,,
,,,NES,,,
,,,OTX2,,,
,,,SOX9,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
