Retinal Ganglion Dorgau,Horizontal Dorgau,Amacrine Dorgau,Bipolar Dorgau,Rods Dorgau,Cones Dorgau
SNCG,LHX1,GAD1,VSX1,NRL,ARR3
NEFL,ONECUT1,TFAP2B,CABP5,NR2E3,PDE6H
GAP43,ONECUT2,TFAP2A,GRM6,PDE6G,DCT
RBPMS,ELAVL3,MEIS2,CADPS,PDE6A,ISL2
SLC17A6,ESRRB,NRNX2,NETO1,GNAT1,RXRγ
PRPH,TNR,ELAVL3,NEUROD4,CNGB1,PDE6C
POU4F1,CALB1,RBFOX2,ERBB4,SAG,GNAT2
POU4F2,ISL1,PAX6,PRDM8,PRPH2,OPN1LW
POU6F2,PCDH9,ZNF385D,NFIB,IMPG1,OPN1MW
ISL1,NAT16,GABRA2,CA10,CNGA1,OPN1SW
NHLH2,CACGNG3,SYNPRC1QL2,IGSF21,RP1,MYL4
EBF1,GFRA2C1QL1,CAMKV,TRPM1,PDC,GUCA1C
EBF3,PVALB,SLC32A1,GNG13,RHO,CNGB3
MYC,CMYA5,LY6H,PLXDC1,GNB1,GNGT2
NEFM,FRMPD4,GAD2,AANAT,GNGT1,GRK1
NRN1,,SYT6,TMEM215,,SLC24A2
ELAVL2,,GRIA4,IGF1,,KCNB2
KCNC2,,LHX9,CAMK2B,,SALL3
SV2C,,,TMEM176B,,CRABP2
NEFH,,,,,THRB
CLEC2L,,,,,CRX
